,Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Growth Rate
91,Iceland,372899,366669,331060,318333,281462,255019,228263,204468,1.0069
92,India,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,1.0068
93,Indonesia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1.0064
94,Iran,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1.0071
95,Iraq,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,1.0221
96,Ireland,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,1.0073
97,Isle of Man,84519,84046,83593,83828,75562,68865,64022,55298,1.003
98,Israel,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,1.0155
99,Italy,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,0.9966
100,Ivory Coast,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,1.0248
101,Jamaica,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,0.9999
102,Japan,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,0.9947
103,Jersey,110778,108319,100561,96151,86192,82874,75124,68347,1.0106
104,Jordan,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,1.0123
105,Kazakhstan,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,1.0105
106,Kenya,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,1.0193
107,Kiribati,131232,126463,116707,107995,88826,75124,60813,57437,1.0183
108,Kuwait,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,1.0044
109,Kyrgyzstan,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,1.0158
110,Laos,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,1.0141
111,Latvia,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,0.9876
112,Lebanon,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,0.9816
113,Lesotho,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,1.0107
114,Liberia,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,1.021
115,Libya,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1.0114
116,Liechtenstein,39327,38756,37355,35926,33026,28765,25003,21089,1.0074
117,Lithuania,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,0.9869
118,Luxembourg,647599,630399,569408,507070,435628,381267,363741,339342,1.0129
119,Macau,695168,676283,615239,557297,431896,350227,245332,247284,1.0125
120,Madagascar,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,1.0241
121,Malawi,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,1.0259
